Taxa and Samples	BJ1-L	BJ2-L	BJ3-L	BJ4-L	BJ5-L	BJ6-L	LC1-L	LC2-L	LC3-L	LC4-L	LC5-L	LC6-L	S1-L	S2-L	S3-L	S4-L	S5-L	S6-L	TH1-L	TH2-L	TH3-L	TH4-L	TH5-L	TH6-L	TY1-L	TY2-L	TY3-L	TY4-L	TY5-L	TY6-L	YL1-L	YL2-L	YL3-L	YL4-L	YL5-L	YL6-L	ZZ1-L	ZZ2-L	ZZ3-L	ZZ4-L	ZZ5-L	ZZ6-L
8f5ef4d1bc539041d0b41bf06a2a2acf	0	0	0	0	0	0	0	3.321928095	0	0	2.730526618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.850592016	3.41053049	4.799985714	2.226985111	2.180647212	3.749034484	0	0	0	0	0	0
ffa6233fddbce8efb643a3c7082987c6	0	0	0	0	0	0	3.629003753	2.700439718	0	0	0	0	0	0	0	3.437955818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dda2121cd64c8ad4962bf8201dee4dbe	3.047850692	3.316707767	3.947278188	0	0	0	0	2.321928095	0	0	0	0	0	0	3.743303735	0	0	0	0	0	0	0	0	0	3.703730888	2.810779157	0	0	0	0	0	0	0	0.941396746	0	3.426862749	5.005316597	6.141041887	5.926564204	4.460245622	4.416974208	0
dbc69f555de48665faa1aabe7bac8c53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.955925396	0	0	0	0	0	0	4.036537204	4.920258961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bd90fd282d99d07e2c79800e29854833	0	0	0	0	0	0	2.780185296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.559030729	0	0	0	1.282781017	0	0	0	0	0	0	0	0	0	0	0	0
eb34b951596c4e16bd5589af068a29da	0	0	0	0	0	0	0	0	0	0	0	0	0	3.052984456	2.359149959	0	3.287095411	0	0	0	0	0	0	0	0	0	2.785591668	0	3.239862907	0	0	0	0	3.3510439	0	0	0	0	0	0	0	0
ed8d5beb11ea5163b42487c2e0fcf736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.232956095	0	1.950897896	0	0	0	0	0	0	0	2.245752587	0	0	0	0
7c5e76abe10b2d97ef796abfe3f277e9	0	0	0	0	0	0	4.501020837	0	0	0	0	0	0	0	0	5.520742172	0	0	0	0	4.563524687	3.779293161	0	0	0	1.643171826	0	2.306756005	2.158806783	0	0	0	0	0	0	3.070377774	0	0	0	0	0	0
4d8923a7461d4bbb8fbb5e273dfc3caf	0	0	0	0	0	0	3.346382028	0	0	0	0	0	0	0	3.089214516	0	0	0	0	0	0	3.976397412	2.883890833	3.364541783	0	0	0	1.892988958	0.900229951	0	3.422532036	0	2.863609393	0	3.354246353	1.593670948	0	2.968125255	3.491058113	0	0	0
fe945596b117cf120b585b3cf9763ca1	2.547579793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4198529	3.192218187	0	1.687319342	3.064208454	3.571843382	0	2.540200374	0	0	0	0	0	0	2.164430016	0	0	0
0d91348c66f3fd36b16e03a79393789f	0	4.071986849	0	4.49155344	0	0	0	3.700439718	0	2.2247254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.739168903	0	2.472073894	0	2.607056272	4.601738492	4.06141758	0	3.842882121	4.427471771	0	0	0	0	0	0
49d5ddc32dad55a754bbba80aca3ba9d	3.047850692	0	0	0	0	0	0	0	4.30914194	5.475028474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.140517388	3.971558811	0	2.738726508	0	4.527906129	0	0	0	0	0	0	0	0	2.290614593	0	0	0
101a37ef22417f52bc2dfe83e6c64079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.380938523	0	2.699698813	3.636480741	0	0	0	0	0	0
7efe192f6f4a77130d18d1fe77cbb2d0	0	0	2.489612901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.121876222	3.821520238	3.114140995	0	2.439356049	0	0	2.631844801	0	4.252139765	2.40095025	4.120471603	0	3.782420091	0	0	0	0	0	0	0
3f75e13b50e3b9dba6b199003b5713f6	0	0	0	2.244374951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.271820559	0	0	0	0	0	0	2.607056272	0	0	0	0	2.332371941	0	0	0	0	0	0
faf59085d187bebdcf6c2c1e2ff5c5e7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.144610272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.605089444	0	0	2.976515491	0	0	0	0	0	0	0
b1654fcd0432a2fa1639365135a0590b	0	0	0	0	0	0	3.671158773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.644131886	3.925253176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8cf4394a5f522a6009d87c62bb9abaeb	0	0	0	0	0	3.97157873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.945360504	0	0	0	0	2.020330998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6b2073db5b895b1db7ab7fd531c49169	0	0	0	0	0	0	0.793834067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.810779157	0	1.447375918	0	0	0	0	0	0	0	2.009793316	0	0	0	0	0	0
70112901bb53440aa48f63db2c58e25f	0	0	0	0	0	0	4.697383203	0	7.102979178	5.06417595	6.885686057	6.563083271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ae0085a5af2bdfcb683bd7e05e0dc45d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.182436976	2.957647007	0	3.101091999	0	0	0	0	3.795498066	0	0	0	0	0	0	0	0
9654793d84b1a9c373ad66eb30d141c8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.315896582	3.955192456	4.172372915	3.959502934	0	2.81124836	0	4.451036824	0	0	0	0	0	0	0	0	0	0
6a18731d1699f83bae8d1112e8ebe9ab	0	0	0	0	7.657361737	7.570663953	3.059486311	0	0	0	0	0	0	7.00828548	0	0	0	0	0	0	6.880265793	0	0	0	0	0	0	0	0	0	2.233797185	0	0	0	0	0	0	0	0	0	0	5.410234135
ee0217aec93375dd9a5651e9e449c1aa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.798024636	2.095961262	2.507892427	0	0	0	0	0	0	0	0	0	0	0	0	0	0
